system   D            wsystem.c:583  maybe_parent_dir                 [   0.00053] Also searching C:\Users\heno\documents\visual studio 2010\Projects\Scrapheap Spaceships\
display  D   display_settings.c:377  _al_score_display_settings       [   0.08949] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08951] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08953] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08955] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08957] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08959] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08962] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08964] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08966] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08968] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08970] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08972] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08975] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08977] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08984] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08990] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08996] Single Buffer requirement not met.
